timestamp,Intersection_1_queue,Intersection_1_occupancy,Intersection_1_avg_speed,Intersection_2_queue,Intersection_2_occupancy,Intersection_2_avg_speed,Intersection_3_queue,Intersection_3_occupancy,Intersection_3_avg_speed,Intersection_4_queue,Intersection_4_occupancy,Intersection_4_avg_speed,Intersection_5_queue,Intersection_5_occupancy,Intersection_5_avg_speed,Intersection_6_queue,Intersection_6_occupancy,Intersection_6_avg_speed
2023-10-01 00:00:00,13,29.6,39.0,11,24.6,42.3,15,33.8,36.1,16,37.5,33.7,13,29.9,38.7,2,1.7,57.5
2023-10-01 00:05:00,5,9.4,52.4,8,15.1,48.6,15,33.9,36.1,11,22.6,43.6,8,15.5,48.3,10,21.7,44.2
2023-10-01 00:10:00,16,36.3,34.5,15,33.7,36.2,7,14.1,49.2,7,14.0,49.3,14,31.4,37.7,22,51.9,24.1
2023-10-01 00:15:00,17,39.1,32.6,14,32.1,37.2,12,27.4,40.4,9,19.0,46.0,5,8.7,52.9,12,27.0,40.7
2023-10-01 00:20:00,0,0.0,60.0,12,25.2,41.9,25,58.0,20.0,4,7.0,54.0,15,34.5,35.7,8,16.5,47.6
2023-10-01 00:25:00,4,5.5,55.0,7,13.2,49.9,11,24.7,42.2,23,54.8,22.1,20,45.7,28.2,1,0.0,59.6
2023-10-01 00:30:00,12,26.9,40.7,12,26.9,40.7,7,14.6,48.9,11,23.6,43.0,21,49.5,25.7,20,45.7,28.2
2023-10-01 00:35:00,10,20.3,45.2,11,24.0,42.7,10,22.4,43.7,15,34.7,35.6,16,35.6,34.9,11,23.9,42.7
2023-10-01 00:40:00,11,24.7,42.2,3,5.0,55.3,12,26.4,41.1,8,16.9,47.4,3,4.3,55.8,1,0.0,59.6
2023-10-01 00:45:00,6,12.2,50.5,3,2.9,56.7,11,22.7,43.5,5,9.2,52.5,13,28.0,40.0,6,11.1,51.2
2023-10-01 00:50:00,17,38.2,33.2,15,33.5,36.3,11,24.5,42.3,10,21.5,44.3,24,57.1,20.6,4,5.8,54.8
2023-10-01 00:55:00,16,36.7,34.2,0,0.0,60.0,3,3.3,56.4,18,41.5,31.0,6,12.0,50.7,11,23.0,43.3
2023-10-01 01:00:00,12,26.0,41.3,13,28.1,39.9,6,10.6,51.6,8,17.2,47.2,11,24.1,42.6,13,28.1,39.9
2023-10-01 01:05:00,18,41.9,30.7,9,17.8,46.8,11,22.8,43.5,6,11.9,50.7,20,46.2,27.9,8,17.5,47.0
2023-10-01 01:10:00,14,32.0,37.3,19,44.6,28.9,11,22.5,43.7,12,27.3,40.4,15,34.3,35.8,16,36.7,34.2
2023-10-01 01:15:00,6,12.1,50.6,9,17.6,46.9,8,16.5,47.7,14,32.5,37.0,26,62.2,17.2,12,26.2,41.2
2023-10-01 01:20:00,14,30.5,38.3,15,34.9,35.4,10,22.3,43.8,21,49.6,25.6,7,14.0,49.3,18,40.9,31.4
2023-10-01 01:25:00,6,10.6,51.6,9,19.0,46.0,12,25.9,41.4,14,30.3,38.5,6,10.2,51.9,9,19.6,45.6
2023-10-01 01:30:00,17,38.2,33.2,12,26.7,40.9,17,38.3,33.1,15,34.7,35.6,19,43.4,29.8,30,70.7,11.5
2023-10-01 01:35:00,11,24.3,42.5,16,36.1,34.6,11,23.5,43.0,16,35.8,34.8,4,7.1,54.0,8,16.5,47.6
2023-10-01 01:40:00,10,22.2,43.8,9,18.1,46.6,14,31.0,38.0,5,7.7,53.5,10,22.0,44.0,6,11.5,51.0
2023-10-01 01:45:00,7,14.8,48.8,17,39.9,32.0,8,16.9,47.4,6,10.6,51.6,11,24.0,42.7,5,9.6,52.3
2023-10-01 01:50:00,19,43.3,29.8,6,10.1,51.9,15,33.6,36.3,5,8.7,52.8,18,40.5,31.6,10,21.8,44.1
2023-10-01 01:55:00,11,22.7,43.5,13,29.4,39.1,14,30.6,38.2,4,5.0,55.3,15,34.2,35.9,1,0.0,59.2
2023-10-01 02:00:00,9,18.6,46.3,17,38.8,32.8,17,38.0,33.3,16,36.9,34.0,14,31.9,37.4,13,29.4,39.1
2023-10-01 02:05:00,9,19.7,45.5,15,34.9,35.4,16,35.7,34.9,13,29.4,39.1,9,19.0,46.0,0,0.0,60.0
2023-10-01 02:10:00,15,33.0,36.7,23,53.7,22.8,15,33.8,36.1,12,26.2,41.2,19,43.2,29.8,12,27.4,40.4
2023-10-01 02:15:00,14,30.5,38.3,7,13.6,49.6,11,23.5,43.0,0,0.0,60.0,36,85.4,5.0,3,4.7,55.5
2023-10-01 02:20:00,14,31.2,37.9,3,4.3,55.8,13,28.7,39.5,24,55.8,21.4,16,35.4,35.1,9,19.3,45.8
2023-10-01 02:25:00,14,31.5,37.7,6,10.1,51.9,18,41.0,31.4,6,11.6,50.9,12,26.5,41.0,15,34.1,36.0
2023-10-01 02:30:00,24,57.1,20.6,15,34.9,35.4,8,15.2,48.5,24,55.8,21.5,4,5.5,55.0,25,59.6,19.0
2023-10-01 02:35:00,9,18.9,46.1,14,32.5,37.0,8,15.6,48.3,3,3.3,56.5,8,15.4,48.4,5,8.8,52.8
2023-10-01 02:40:00,8,17.3,47.1,12,26.5,41.0,13,27.7,40.2,7,12.8,50.1,10,21.8,44.1,11,22.8,43.5
2023-10-01 02:45:00,7,12.8,50.1,5,8.2,53.2,14,31.2,37.8,0,0.0,60.0,8,17.0,47.3,7,14.2,49.2
